Line,DataOwnerCode,DestinationCode,DestinationName50,LineDirection,LineName,LinePlanningNumber,LinePublicNumber,LineWheelchairAccessible,TransportType
ARR_28572_2,ARR,2379,Nij Beets,2,"Nij Beets - Drachten, Transferium Oost",28572,6622,NOTACCESSIBLE,BUS
CXX_L404_2,CXX,L40416139,Nuenen Centrum,2,Nuenen - Summa College - Eindhoven Station,L404,404,ACCESSIBLE,BUS
CXX_L404_1,CXX,L40415928,Eindhoven Station,1,Nuenen - Summa College - Eindhoven Station,L404,404,ACCESSIBLE,BUS
CXX_A300_1,CXX,A30011203,Nijmegen Heyendaal,1,Arnhem CS - Nijmegen Heyendaal,A300,300,ACCESSIBLE,BUS
CXX_A300_2,CXX,A30001013,Arnhem CS,2,Arnhem CS - Nijmegen Heyendaal,A300,300,ACCESSIBLE,BUS
HTM_6_1,HTM,94;94,Den Haag Leyenburg,1,Den Haag Leyenburg - Leidschendam Noord,6,6,UNKNOWN,TRAM
HTM_6_2,HTM,12;12,L-dam Noord,2,Den Haag Leyenburg - Leidschendam Noord,6,6,UNKNOWN,TRAM
KEOLIS_4706_1,KEOLIS,4030,Stokhorst,1,"Enschede, Station - Stokhorst",4706,6,ACCESSIBLE,BUS
KEOLIS_4706_2,KEOLIS,102,Centraal Station,2,"Enschede, Station - Stokhorst",4706,6,ACCESSIBLE,BUS
CXX_L261_1,CXX,L26147325,Helmond,1,Beek en Donk - Mariahout - Helmond,L261,261,NOTACCESSIBLE,BUS
CXX_L261_2,CXX,L26115875,Beek en Donk,2,Beek en Donk - Mariahout - Helmond,L261,261,NOTACCESSIBLE,BUS
CXX_Z184_2,CXX,Z18402588,Goes Station,2,"Goes, Station - Ziekenhuis",Z184,184,ACCESSIBLE,BUS
CXX_Z184_1,CXX,Z18402600,Goes Ziekenhuis,1,"Goes, Station - Ziekenhuis",Z184,184,ACCESSIBLE,BUS
EBS_3824_1,EBS,3066,Honselersdijk Bloemenveiling,1,Rotterdam - Schiedam - Honselersdijk,3824,824,ACCESSIBLE,BUS
ARR_25796_1,ARR,5724,Heythuysen,1,Heythuysen - Nederweert,25796,796,UNKNOWN,BUS
AVV_100003_1,AVV,1854,Uniklinik - Schanz - Hauptbahnhof,1,,100003,3A,UNKNOWN,BUS
ARR_25796_2,ARR,5677,Nederweert,2,Heythuysen - Nederweert,25796,796,UNKNOWN,BUS
ARR_2501_2,ARR,1521,Schiermonnikoog,2,Strandhotel - Veerdam,2501,1,UNKNOWN,BUS
AVV_100301_1,AVV,1825,Hofstadt (weiter als Li. HZ3),1,,100301,HZ1,UNKNOWN,BUS
ARR_2501_1,ARR,1522,Schiermonnikoog,1,Strandhotel - Veerdam,2501,1,UNKNOWN,BUS
